Categories,Level 3 - CATEGORY MANAGER,Level 4 - CATEGORY PLAN,Level 5 - 4BOX,cost,Percentage
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI PIZZA SELF SERVICE,-21057,"0,02%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN FRUIT&VEGETABLES,-20289,"0,02%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI PASTA SELF SERVICE,-19338,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,HARD CURDS,-17780,"0,02%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,OTHER RED MEAT CHILLED,-17623,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",MAYONNAISE,-17095,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS",MILK,CONDENSED MILK,-13993,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",TARTAR SAUCE,-13848,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,YEAST,-11929,"0,01%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,OTHER POULTRY CHILLED,-9103,"0,01%"
FF SCM GASTRO,FF CM SUSHI,SUSHI POINT,SUSHI POINT - SUSHI,-7211,"0,01%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN CHIPS&WEDGES&POTATOES,-6831,"0,01%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT","DRIED F&V, NUTS&SEEDS SALTED",-6695,"0,01%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN DUCK,-6566,"0,01%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT",DRIED SEEDS,-6232,"0,01%"
SF SCM FISH,SF CM FISH,FRESH FISH,FRESH SEAFOOD,-5428,"0,01%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT","DRIED F&V, NUTS&SEEDS WITH COATING",-4702,"0,01%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN BAKERY&CONFECTIONARY,-4585,"0,01%"
